year,assists,goals,hockeyAssists,completions,throwAttempts,throwaways,stalls,callahansThrown,yardsReceived,yardsThrown,hucksAttempted,hucksCompleted,catches,drops,blocks,callahans,pulls,obPulls,recordedPulls,recordedPullsHangtime,oPointsPlayed,oPointsScored,dPointsPlayed,dPointsScored,secondsPlayed,oOpportunities,oOpportunityScores,dOpportunities,dOpportunityStops,firstName,lastName,id,team
2022,7,6,13,196,209,10,1,0,230,1041,2,0,168,0,7,0,16,0,16,122549,34,26,176,58,14748,158,83,247,132,Tristan,Van de Moortele,tvandemoo,windchill
2012,11,24,0,115,128,13,0,0,0,0,0,0,152,7,11,0,0,0,0,0,68,59,56,18,0,0,0,0,0,Matt,Smith,,
2023,12,16,16,170,172,2,0,0,1068,1228,5,4,176,1,1,0,0,0,0,0,130,100,1,1,9409,158,101,54,30,Max,Thorne,mthorne,hustle
2023,33,3,22,408,439,28,1,0,908,3615,44,29,381,3,1,0,1,0,1,4995,191,125,4,2,13338,249,127,119,73,Josh,Klane,jklane,windchill
2016,1,1,0,11,13,2,0,0,0,0,0,0,10,0,1,1,0,0,0,0,4,2,40,14,1703,30,15,53,28,Matthew,Knowles,mknowles,hustle
2023,28,8,40,551,576,19,1,1,1233,3901,21,14,500,0,3,0,0,0,0,0,254,171,0,0,17429,325,171,144,78,Jonathan,Mast,jmast,thunderbirds
2018,3,6,1,27,28,1,0,0,0,0,0,0,33,1,6,0,14,0,14,83598,11,7,106,35,6543,97,42,153,88,Anson,Reppermund,areppermu,radicals
2019,24,12,17,279,302,19,0,0,0,0,0,0,249,5,2,0,6,1,5,34597,177,124,70,28,16630,285,151,193,115,Austin,Taylor,ataylor,hustle
2015,11,18,7,92,106,10,0,0,0,0,0,0,112,4,16,0,3,0,3,17850,62,30,156,58,14063,261,86,317,204,Brandon,Matis,bmatis,windchill
2022,3,1,0,6,6,0,0,0,147,30,0,0,7,0,1,0,0,0,0,0,5,3,37,9,3167,22,12,47,17,Kevin,Nicholl,knicholl,thunderbirds
2016,4,2,1,9,10,1,0,0,0,0,0,0,12,0,0,0,11,1,10,59290,3,1,41,8,1993,22,9,50,20,Michael,Fairley,mfairley,cannons
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,447,2,2,7,2,Elliot,Hare,ehare,thunderbirds
2017,3,15,5,47,56,7,0,0,0,0,0,0,70,4,10,0,0,0,0,0,78,46,87,28,9597,167,74,176,93,Jimmy,Towle,jtowle,thunderbirds
2022,0,2,0,10,10,0,0,0,110,-4,0,0,12,0,1,0,0,0,0,0,2,1,51,13,3737,33,13,69,33,Thomas,Hansen,thansen,thunderbirds
2023,4,16,12,110,119,9,0,1,1148,342,2,1,132,1,3,0,0,0,0,0,123,83,21,9,9598,176,91,102,61,Marco,Dregni,mdregni,windchill
2022,4,3,1,18,19,1,0,0,211,154,0,0,22,0,0,0,0,0,0,0,3,2,44,20,2675,39,22,60,36,Gordon,Larson,glarson,windchill
2022,3,2,1,33,35,2,0,0,362,167,3,1,39,3,5,0,30,3,26,169742,21,10,97,19,7717,85,28,150,79,Charlie,Vukovic,cvukovic,thunderbirds
2017,5,22,6,34,34,0,0,0,0,0,0,0,50,1,21,0,0,0,0,0,23,9,211,78,12636,226,86,339,213,Dylan,DeClerck,ddeclerck,windchill
2022,3,2,1,9,12,2,0,1,224,76,2,1,13,0,2,0,0,0,0,0,0,0,56,13,4871,35,13,76,36,Kennith,Taylor,ktaylor,hustle
2021,7,10,7,60,68,7,0,0,891,455,3,2,75,1,13,0,5,0,1,11361,59,28,154,26,13326,152,54,248,106,Anson,Reppermund,areppermu,thunderbirds
2022,2,2,2,13,15,2,0,0,181,129,1,0,15,0,4,0,0,0,0,0,0,0,53,21,3123,38,21,70,39,Luke,Bleers,lbleers,windchill
2021,1,3,3,15,19,4,0,0,353,12,0,0,22,0,1,0,0,0,0,0,27,10,104,20,8151,76,30,150,53,Chris,Graber,cgraber,thunderbirds
2016,2,2,0,11,12,1,0,0,0,0,0,0,13,1,1,0,0,0,0,0,2,1,40,6,2110,25,7,55,25,Tannon,Hedges,thedges,nightwatch
2021,0,3,6,54,60,4,1,0,675,86,0,0,63,1,3,0,0,0,0,0,85,42,10,1,7155,137,43,103,62,Bradley,Seuntjens,bseuntjen,cannons
2017,34,60,27,250,273,20,0,0,0,0,0,0,330,5,4,0,9,0,9,36727,250,188,58,25,18324,393,213,228,158,Jeremy,Langdon,jlangdon,cannons
2018,3,14,1,39,46,6,0,0,0,0,0,0,54,1,17,0,0,0,0,0,14,3,195,54,10243,153,56,280,154,James,Kittlesen,jkittlese,windchill
2015,12,21,6,80,88,7,0,0,0,0,0,0,104,6,32,1,0,0,0,0,74,33,191,76,15873,296,108,354,227,James,Kittlesen,jkittlese,windchill
2022,46,19,30,413,437,19,0,0,2182,3579,27,21,396,3,2,0,5,0,5,35745,253,181,19,5,18315,318,186,138,73,Austin,Taylor,ataylor,hustle
2015,8,5,6,60,64,4,0,0,0,0,0,0,60,1,8,0,36,0,34,161974,4,3,161,62,8190,117,65,209,117,Steve,Mogielski,smogielsk,thunderbirds
2017,2,2,1,10,14,3,0,1,0,0,0,0,16,1,4,1,26,2,23,102393,3,2,49,17,3175,59,18,87,59,Michael,Jordan,mjordan,windchill
2021,6,5,4,41,46,3,0,0,393,233,2,2,50,0,0,0,0,0,0,0,53,38,1,0,3770,67,38,27,13,Hayden,Austin-Knab,haustinkn,hustle
2018,7,14,14,78,83,5,0,0,0,0,0,0,87,3,9,0,56,3,48,324281,71,56,109,40,9865,192,96,198,128,Jordan,Taylor,jtaylor,windchill
2021,6,4,3,57,69,11,0,0,630,389,4,1,65,1,4,0,23,1,22,157663,29,20,95,27,9940,102,47,148,79,Jordan,Taylor,jtaylor,windchill
2018,18,31,19,163,178,14,0,0,0,0,0,0,199,4,8,0,41,4,30,184746,126,89,116,31,14715,224,119,209,101,JP,Burns,jburns,hustle
2023,2,3,1,25,26,1,0,1,111,189,1,1,20,2,2,0,0,0,0,0,8,5,90,27,6499,59,32,116,58,John,McMonigal,jmcmoniga,thunderbirds
2022,4,1,2,48,50,2,0,0,118,421,2,2,35,1,0,0,0,0,0,0,31,21,0,0,2517,42,21,18,11,Eli,Motycka,emotycka,hustle
2021,11,8,7,139,147,8,1,0,650,1083,2,1,111,1,7,0,0,0,0,0,107,75,65,18,12172,165,93,130,63,Tanner,Robinson,trobinson,hustle
2022,6,4,13,91,95,4,0,0,392,453,1,0,81,0,6,1,2,0,2,12001,0,0,180,58,15842,109,57,222,121,Tyler,Randall,trandall,hustle
2023,14,45,11,111,121,7,0,0,2493,721,9,7,160,2,10,0,0,0,0,0,194,127,67,19,16270,272,146,179,97,Carl,Johnson,cjohnson2,thunderbirds
2023,27,30,21,302,321,17,0,0,3579,1653,8,5,328,5,18,0,9,0,9,50118,203,145,103,33,19823,296,176,202,113,Brett,Hulsmeyer,bhulsmeye,hustle
2023,0,4,2,15,20,5,0,0,335,162,1,1,24,0,3,0,2,1,1,3731,8,4,78,20,7269,67,24,119,61,Wyatt,Brooks,wbrooks,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kai,Marcus,kmarcus,radicals
2023,24,32,27,229,242,12,0,0,3011,1217,9,5,274,4,6,1,1,0,1,5962,191,132,88,30,19165,299,161,216,137,Bryan,Vohnoutka,bvohnoutk,windchill
2023,4,13,3,39,40,1,0,1,581,163,0,0,49,0,11,0,0,0,0,0,31,15,96,43,8773,104,58,139,86,Paul,Krenik,pkrenik,windchill
2016,7,19,5,41,48,6,0,0,0,0,0,0,66,8,13,0,0,0,0,0,85,34,187,36,16499,235,70,333,165,Jakeem,Polk,jpolk,express
2022,7,1,0,32,34,1,0,0,8,339,0,0,31,0,2,0,0,0,0,0,0,0,98,31,9101,56,30,116,64,Matthew,Knowles,mknowles,hustle
2017,15,11,32,431,457,18,0,1,0,0,0,0,331,3,11,0,3,0,3,10399,171,113,136,49,18488,387,162,349,231,Jason,Tschida,jtschida,windchill
2023,5,9,5,38,43,4,0,0,370,240,2,2,47,2,4,0,0,0,0,0,0,0,126,41,9168,79,41,163,83,Mickey,Walsh,mwalsh,windchill
2014,7,0,5,96,107,9,0,0,0,0,0,0,88,0,3,0,2,0,2,13528,38,21,39,7,3860,70,28,73,32,Josh,Klane,,
2022,2,6,3,47,48,0,0,0,76,264,0,0,49,2,2,0,0,0,0,0,5,3,153,38,9296,61,41,173,68,Luke,Huffman,lhuffman,alleycats
2018,25,9,12,288,308,17,0,0,0,0,0,0,247,1,9,1,26,1,4,30568,123,77,87,28,11974,216,104,189,97,Billy,O'Bryan,bobryan,cannons
2018,12,11,8,48,57,7,0,0,0,0,0,0,65,2,10,0,27,2,21,125282,20,7,210,57,11628,172,64,311,156,Brandon,Matis,bmatis,windchill
2016,14,3,9,92,104,9,0,0,0,0,0,0,67,1,4,0,0,0,0,0,25,15,94,41,7111,132,56,164,109,Abe,Coffin,acoffin,radicals
2022,10,17,13,93,106,12,0,0,1393,651,7,3,120,3,9,0,2,0,2,11098,148,98,84,19,14828,232,117,196,107,Anson,Reppermund,areppermu,thunderbirds
2021,6,10,8,105,115,10,0,0,594,650,4,3,115,1,8,0,5,0,5,28708,27,20,173,55,13973,149,75,241,143,Colin,Berry,cberry,windchill
2019,3,8,3,46,53,6,0,0,0,0,0,0,57,2,8,0,2,0,2,10754,35,14,142,34,9802,135,48,218,106,Brandon,Matis,bmatis,windchill
2023,11,11,11,74,86,9,1,0,1354,440,2,2,93,3,10,0,0,0,0,0,72,39,88,29,11014,150,68,161,89,Mikey,O'Brien,mobrien2,thunderbirds
2021,27,10,20,305,324,18,0,0,1461,1937,12,8,287,2,0,0,4,0,4,32362,171,118,8,0,11508,215,118,100,57,Abe,Coffin,acoffin,legion
2023,6,5,2,31,35,4,0,0,700,148,4,1,40,0,7,0,2,0,2,14151,7,3,173,57,12484,115,60,225,123,Brandon,Matis,bmatis,windchill
2023,12,20,6,40,43,2,0,0,1498,235,0,0,60,0,13,0,111,14,77,550259,116,85,127,43,15804,215,126,196,118,Dean,Ramsey,dramsey,hustle
2015,0,0,1,11,19,7,0,0,0,0,0,0,8,1,0,0,7,0,7,33609,9,2,7,3,1522,33,5,32,24,Michael,Petersen,mpetersen,windchill
2023,14,9,12,153,167,12,0,0,873,1203,9,5,144,1,2,0,5,0,4,56972,109,66,19,7,9092,144,72,86,43,Abe,Coffin,acoffin,windchill
2018,14,42,18,145,159,14,0,0,0,0,0,0,196,9,12,0,0,0,0,0,242,155,51,22,17754,396,177,267,176,Jimmy,Towle,jtowle,thunderbirds
2021,13,4,24,429,445,13,1,0,535,2533,2,1,364,0,0,0,0,0,0,0,192,124,0,0,12157,232,124,104,50,Jonathan,Mast,jmast,thunderbirds
2022,0,0,1,3,3,0,0,0,16,15,0,0,2,0,1,0,0,0,0,0,0,0,35,8,2143,14,8,41,14,Reid,Duncan,rduncan,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luke,Bleers,lbleers,windchill
2023,8,6,3,41,45,4,0,0,693,398,4,2,46,1,11,0,64,5,26,140425,12,6,141,44,10677,96,49,181,97,Charlie,Vukovic,cvukovic,thunderbirds
2021,0,0,0,2,2,0,0,0,-5,17,0,0,2,0,0,0,0,0,0,0,0,0,11,0,544,1,0,12,1,Michael,Dillard,mdillard,glory
2021,62,15,20,450,478,19,0,0,1688,4687,43,31,397,3,2,0,0,0,0,0,280,197,4,3,19222,344,200,135,70,Austin,Taylor,ataylor,hustle
2022,3,14,10,82,87,4,0,0,1352,181,0,0,101,0,2,0,0,0,0,0,119,85,3,1,10570,154,86,64,37,Karl,Ekwurtzel,kekwurtze,hustle
2022,5,4,4,88,92,4,0,0,104,400,4,1,74,2,2,0,9,1,8,46021,17,13,84,15,6993,64,28,119,54,Andrew ,Thompson,athompson,thunderbirds
2023,2,7,2,15,16,1,0,0,513,2,0,0,23,1,4,0,0,0,0,0,9,6,84,23,7275,60,28,114,55,Chris,Graber,cgraber,thunderbirds
2023,1,7,4,49,56,6,0,0,448,219,3,1,55,0,4,0,5,0,5,29697,24,16,63,18,6308,69,34,95,47,Hayden,Austin-Knab,haustinkn,hustle
2021,6,8,9,231,247,13,0,0,313,1100,5,1,195,1,8,0,0,0,0,0,167,103,56,11,15278,249,114,190,92,Pete,Zaccardi,pzaccardi,thunderbirds
2017,14,10,8,87,101,11,0,0,0,0,0,0,96,3,11,0,1,0,1,5806,52,25,226,50,15766,200,75,334,157,JP,Burns,jburns,hustle
2017,30,12,8,106,140,30,2,0,0,0,0,0,124,2,10,0,152,8,143,840147,60,32,170,55,12079,222,86,297,173,Sam,VanDusen,svandusen,thunderbirds
2019,7,9,5,64,74,9,0,0,0,0,0,0,75,1,5,0,43,3,40,257024,65,39,89,28,9949,163,67,177,108,Jordan,Taylor,jtaylor,windchill
2016,18,30,5,105,113,7,1,0,0,0,0,0,138,7,6,0,73,3,66,377669,132,89,101,33,13079,264,122,230,142,Max,Sheppard,msheppard,thunderbirds
2023,4,2,0,21,23,2,0,0,158,141,2,2,22,1,3,0,0,0,0,0,7,2,42,17,3596,42,19,65,37,Noah,Hanson,nhanson,windchill
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,369,1,1,7,1,Kevin,Nicholl,knicholl,thunderbirds
2022,0,3,1,6,6,0,0,0,79,43,0,0,7,0,2,0,0,0,0,0,0,0,26,9,1475,18,9,35,21,Noah,Hanson,nhanson,windchill
2021,20,23,18,314,352,34,0,0,1891,2038,21,7,297,5,9,0,26,1,25,135779,192,108,86,9,18144,301,117,266,128,Billy,O'Bryan,bobryan,cannons
2018,17,19,6,101,117,13,0,0,0,0,0,0,125,2,18,0,16,2,12,73295,62,31,197,59,14773,240,90,333,194,Colin,Berry,cberry,windchill
2021,5,5,2,26,27,0,1,0,499,140,3,3,38,3,13,0,92,5,87,572816,13,6,196,53,14335,121,59,249,121,Jakeem,Polk,jpolk,hustle
2022,6,6,4,78,83,5,0,0,307,472,2,1,71,1,0,0,4,0,4,23177,50,39,35,5,5260,80,44,71,35,Kenny,Furdella,kfurdella,thunderbirds
2022,1,2,2,17,20,3,0,0,88,107,3,1,17,1,3,0,9,0,9,52043,5,3,62,18,5573,44,20,81,44,Michael,Fairley,mfairley,hustle
2023,9,2,6,102,113,9,0,0,532,775,9,7,74,1,8,0,38,1,10,50651,19,9,164,47,14134,126,55,227,118,Pete,Zaccardi,pzaccardi,thunderbirds
2023,5,3,1,24,30,6,0,2,116,237,6,3,24,0,5,0,20,0,2,9977,4,2,66,17,5058,45,19,90,44,Ryan,Kindell,rkindell,thunderbirds
2019,13,0,6,117,123,5,1,0,0,0,0,0,94,0,0,0,0,0,0,0,39,22,69,21,7515,89,43,108,51,Matthew,Knowles,mknowles,hustle
2016,2,0,2,19,20,1,0,0,0,0,0,0,16,0,0,0,17,1,14,93752,3,1,30,5,1942,22,6,43,19,Billy,O'Bryan,bobryan,cannons
2022,6,50,15,139,147,6,1,0,2737,568,1,1,198,2,9,0,0,0,0,0,213,150,39,16,16183,313,166,182,124,Quinn,Snider,qsnider,windchill
2021,3,4,0,22,25,2,0,0,218,183,2,1,26,0,4,0,6,0,3,18117,2,0,86,25,6852,53,25,111,60,Eric,Blais,eblais,union
2017,14,20,12,118,143,21,1,0,0,0,0,0,155,0,33,1,34,1,33,175191,134,72,207,60,19145,360,130,419,247,Anson,Reppermund,areppermu,thunderbirds
2016,8,11,8,66,74,7,0,0,0,0,0,0,74,2,9,0,31,0,19,112258,31,14,207,76,12836,208,89,319,184,Steve,Mogielski,smogielsk,thunderbirds
2019,1,2,4,29,32,2,0,0,0,0,0,0,29,2,1,0,0,0,0,0,22,15,32,7,3207,55,22,64,34,Tyler,Thomegreene,tthomegre,windchill
2018,34,38,25,216,239,21,0,0,0,0,0,0,274,4,9,0,2,0,2,8346,240,170,33,14,15358,334,184,171,114,Bryan,Vohnoutka,bvohnoutk,windchill
2017,5,15,4,102,110,6,0,0,0,0,0,0,85,0,6,0,22,2,20,114377,102,73,58,15,9094,158,88,123,70,Michael,Fairley,mfairley,cannons
2014,4,12,2,26,28,2,0,0,0,0,0,0,37,2,8,0,6,0,6,39461,32,21,123,43,7470,117,64,164,87,Brandon,Matis,,
2021,29,22,24,239,256,16,1,0,2709,1582,11,10,276,3,5,0,0,0,0,0,280,178,0,0,18598,352,178,171,85,Jimmy,Towle,jtowle,thunderbirds
2023,21,8,11,99,110,10,0,0,474,1038,15,9,88,0,4,0,10,0,5,29357,22,18,229,71,16417,168,88,302,163,JP,Burns,jburns,hustle
2016,12,14,14,287,296,7,3,0,0,0,0,0,214,2,8,0,0,0,0,0,149,98,33,12,10130,236,110,153,87,Jason,Tschida,jtschida,windchill
2013,15,8,0,124,143,19,0,0,0,0,0,0,133,8,17,0,69,6,0,0,95,52,131,44,0,0,0,0,0,Michael,Petersen,,
2022,13,2,5,103,133,22,1,0,490,971,19,6,81,2,4,0,111,8,16,113099,19,8,136,34,10688,118,42,210,113,Sam,VanDusen,svandusen,thunderbirds
2023,16,23,21,238,246,8,0,0,2630,859,3,2,269,4,2,0,0,0,0,0,212,150,7,3,15202,274,153,120,70,Jimmy,Towle,jtowle,thunderbirds
2023,1,3,8,38,44,6,0,0,304,136,2,0,46,0,0,0,51,7,10,65975,31,21,69,23,6749,76,41,100,48,Eric,Blais,eblais,radicals
2023,0,0,0,2,2,0,0,0,21,-6,0,0,2,0,2,0,0,0,0,0,0,0,27,8,1991,16,8,35,17,Joe,Molder,jmolder,thunderbirds
2023,5,12,12,194,197,2,1,0,371,1000,1,1,174,0,2,0,0,0,0,0,118,77,35,15,10237,172,91,112,58,Kenny,Furdella,kfurdella,thunderbirds
2022,8,14,9,47,51,3,0,0,759,493,1,1,62,0,4,0,20,0,20,127311,45,37,45,14,5682,86,51,75,45,Jeremy,Langdon,jlangdon,hustle
2016,10,2,6,59,64,4,0,0,0,0,0,0,41,0,3,1,0,0,0,0,12,6,65,27,4157,69,32,101,60,Jonathan,Mast,jmast,thunderbirds
2022,33,11,24,373,402,20,1,0,1111,3320,22,13,337,2,2,0,2,0,2,14824,229,156,10,5,15955,314,161,158,106,Josh,Klane,jklane,windchill
2022,10,16,4,54,55,1,0,0,841,289,0,0,69,3,4,0,0,0,0,0,66,50,91,31,10705,137,81,147,81,Paul,Krenik,pkrenik,windchill
2021,32,13,20,233,256,20,0,0,1273,2477,17,14,201,4,4,0,3,0,3,14608,164,112,43,13,14759,229,125,137,70,Parker,Bray,pbray,hustle
2017,0,5,0,20,25,3,0,0,0,0,0,0,28,1,4,0,0,0,0,0,18,8,41,8,3950,69,16,91,53,Jordan,Taylor,jtaylor,royal
2018,49,20,37,758,799,35,0,0,0,0,0,0,756,1,8,0,7,0,1,3372,222,145,93,38,19498,353,182,252,141,Bobby,Ley,bley,cannons
2023,12,42,12,157,161,1,0,0,2558,825,1,1,204,0,0,0,0,0,0,0,185,148,2,1,13580,228,149,77,49,Matt,Smith,msmith,hustle
2023,44,9,38,510,536,21,0,0,1141,4217,36,27,431,1,0,0,1,0,0,0,258,190,9,4,18802,323,194,121,72,Austin,Taylor,ataylor,hustle
2022,3,3,6,33,38,4,0,0,465,166,3,2,40,0,2,0,37,8,29,196375,35,26,94,27,8978,91,53,132,66,Eric,Blais,eblais,radicals
2023,2,0,2,19,19,0,0,0,66,97,0,0,12,0,1,0,1,0,1,2247,0,0,52,23,3901,32,21,60,33,Matthew,Knowles,mknowles,hustle
2023,13,22,31,391,401,10,1,0,1192,2442,4,3,338,2,3,0,0,0,0,0,211,164,17,6,16929,272,170,116,65,Christian,Olsen,colsen,hustle
2019,1,5,2,17,20,2,0,0,0,0,0,0,24,0,9,0,0,0,0,0,16,7,88,24,5841,80,31,130,66,Dylan,DeClerck,ddeclerck,windchill
2023,7,1,1,23,25,2,0,0,30,222,4,3,13,1,2,0,26,0,18,181346,0,0,38,15,2524,27,15,49,30,Michael,Petersen,mpetersen,windchill
2018,4,19,8,94,99,4,0,0,0,0,0,0,115,0,7,0,0,0,0,0,78,40,203,49,17679,223,88,321,152,Bradley,Seuntjens,bseuntjen,cannons
2017,6,16,10,67,77,10,0,0,0,0,0,0,91,6,8,0,20,0,20,109296,95,64,123,32,11818,227,94,247,137,Steve,Mogielski,smogielsk,thunderbirds
2018,19,5,26,333,350,12,0,0,0,0,0,0,267,5,2,0,1,0,1,4026,159,107,131,41,16674,269,148,241,116,Austin,Taylor,ataylor,hustle
2022,14,26,8,95,98,3,0,0,1508,583,2,2,122,4,2,0,0,0,0,0,165,122,1,1,11041,225,123,99,71,Michael,Jordan,mjordan,windchill
2018,51,15,30,331,394,51,3,0,0,0,0,0,313,1,13,0,27,3,24,144409,217,144,57,21,16778,369,164,252,174,Sam,VanDusen,svandusen,thunderbirds
2019,33,18,19,234,251,13,0,0,0,0,0,0,264,2,5,0,5,1,3,18458,159,108,79,28,16148,254,136,185,98,Christian,Olsen,colsen,hustle
2022,32,34,19,227,260,26,1,0,3161,1489,37,21,267,6,11,1,40,0,36,249846,240,147,79,21,19499,344,167,250,134,Max,Sheppard,msheppard,thunderbirds
2022,32,34,19,227,260,26,1,0,3161,1489,37,21,267,6,11,1,40,0,36,249846,240,147,79,21,19499,344,167,250,134,Max,Sheppard,msheppard,allstars1
2017,5,13,7,68,81,12,0,0,0,0,0,0,83,1,6,0,33,1,32,177113,72,49,76,25,7968,164,73,160,95,Max,Sheppard,msheppard,thunderbirds
2017,22,58,37,339,348,6,1,0,0,0,0,0,395,5,8,0,0,0,0,0,311,231,29,16,19447,443,247,216,137,Matt,Smith,msmith,hustle
2022,1,2,0,7,7,0,0,0,44,32,0,0,9,0,0,0,0,0,0,0,0,0,45,17,4595,26,17,53,28,Bradley,Fleming,bfleming,hustle
2019,3,0,1,31,36,5,0,0,0,0,0,0,23,1,2,0,0,0,0,0,13,8,2,1,1563,35,9,26,23,Jason,Tschida,jtschida,windchill
2021,0,0,0,3,5,2,0,0,13,7,0,0,6,0,0,0,0,0,0,0,0,0,71,11,4107,31,11,90,34,Andrew ,Thompson,athompson,thunderbirds
2019,49,23,24,424,446,17,0,0,376,637,5,3,405,1,9,0,3,1,2,10729,262,184,28,14,18253,379,198,184,124,Abe,Coffin,acoffin,legion
2023,0,0,0,2,2,0,0,0,8,14,0,0,2,0,0,0,0,0,0,0,2,1,8,1,721,8,2,13,6,Chris,Wohl,cwohl,thunderbirds
2023,8,27,3,56,60,2,0,0,1569,265,2,1,84,0,18,1,0,0,0,0,47,29,213,88,18500,208,114,300,181,Dylan,DeClerck,ddeclerck,windchill
2019,11,9,8,217,222,4,0,0,0,0,0,0,187,2,2,0,0,0,0,0,165,130,42,18,13365,253,148,141,102,Kenny,Furdella,kfurdella,thunderbirds
2022,7,8,3,45,52,4,0,0,854,320,2,1,59,3,4,0,0,0,0,0,55,34,55,15,7595,112,49,114,62,Trip,Crowley,tcrowley,hustle
2018,6,15,4,50,53,3,0,0,0,0,0,0,68,2,13,0,4,0,4,19968,32,19,227,65,13551,205,83,337,180,Dylan,DeClerck,ddeclerck,windchill
2015,13,1,10,148,160,10,0,0,0,0,0,0,112,0,12,0,8,0,6,40689,78,51,99,28,10296,181,79,192,105,Matthew,Knowles,mknowles,hustle
2022,1,5,6,43,49,4,0,0,509,218,5,3,53,3,5,0,1,0,1,4531,24,12,130,27,10759,106,39,193,99,Steve,Mogielski,smogielsk,thunderbirds
2021,37,42,16,247,270,22,0,0,3130,1804,31,24,298,4,7,0,0,0,0,0,291,183,5,2,19284,368,185,184,95,Max,Sheppard,msheppard,thunderbirds
2022,4,4,3,32,37,5,0,0,487,282,3,2,37,0,11,0,0,0,0,0,10,6,124,37,9635,89,42,165,85,Justin,Burnett,jburnett,hustle
2023,6,5,6,72,82,8,0,0,341,524,7,3,75,0,14,1,3,0,3,19622,19,10,158,49,12733,113,58,207,109,Steve,Mogielski,smogielsk,thunderbirds
2019,30,42,18,194,212,18,0,0,0,0,0,0,250,5,6,0,1,0,1,3004,219,158,54,24,17874,361,182,220,155,Bryan,Vohnoutka,bvohnoutk,windchill
2018,25,4,54,580,618,33,0,0,0,0,0,0,513,2,5,1,1,0,0,0,251,153,37,17,18315,410,169,273,178,Jonathan,Mast,jmast,thunderbirds
2021,0,1,0,15,15,0,0,0,-19,36,0,0,14,1,1,0,6,1,5,32170,0,0,23,9,1421,17,9,31,18,Sebastian,Brauer,sbrauer,windchill
2016,16,17,7,104,111,5,0,0,0,0,0,0,124,4,42,0,39,0,26,160766,51,24,215,79,15208,256,103,351,216,Anson,Reppermund,areppermu,thunderbirds
2019,1,5,1,21,22,1,0,0,0,0,0,0,27,2,6,0,3,0,3,14488,38,16,44,5,5937,72,21,91,35,Kevin,Nicholl,knicholl,mechanix
2019,17,22,29,264,283,14,0,0,0,0,0,0,303,2,0,0,0,0,0,0,191,136,40,19,14925,282,155,161,107,Dylan,Best,dbest,thunderbirds
2023,18,16,20,401,415,14,2,0,1231,1575,5,3,356,0,6,0,17,1,13,86937,145,89,116,37,18890,257,125,240,130,Tristan,Van de Moortele,tvandemoo,windchill
2016,21,18,27,255,266,10,0,0,0,0,0,0,274,3,5,0,1,0,1,6535,176,120,29,12,11243,243,132,130,74,Bobby,Ley,bley,cannons
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kunwoo,Shin,kshin,thunderbirds
2018,41,16,9,217,252,28,0,0,0,0,0,0,240,2,11,0,26,3,22,126770,119,74,136,35,16654,235,109,240,118,Parker,Bray,pbray,hustle
2023,3,8,6,210,214,3,0,0,-20,1272,0,0,180,1,2,0,0,0,0,0,86,63,4,0,6184,115,63,54,33,Jason,Tschida,jtschida,windchill
2017,39,48,22,261,281,19,0,0,0,0,0,0,306,5,4,0,29,0,26,170635,306,222,81,30,22087,478,252,292,188,Abe,Coffin,acoffin,legion
2023,0,1,4,100,107,7,0,0,80,455,2,0,91,0,1,0,0,0,0,0,44,24,65,17,8195,98,41,118,62,Tyler,Thomegreene,tthomegre,windchill
2017,49,36,35,458,485,25,0,0,0,0,0,0,468,0,6,0,0,0,0,0,255,168,47,33,18174,404,200,236,161,Max,Thorne,mthorne,thunderbirds
2023,2,4,6,49,52,2,0,0,305,157,0,0,48,0,9,0,1,0,1,4229,0,0,186,58,12905,111,57,236,117,Bradley,Seuntjens,bseuntjen,hustle
2021,5,6,3,19,23,3,0,0,440,144,2,1,29,1,7,0,2,0,2,14673,6,5,140,29,10545,82,34,182,83,Kennith,Taylor,ktaylor,hustle
2022,13,10,12,172,181,7,0,0,938,690,4,1,173,3,1,0,0,0,0,0,121,84,7,2,8644,161,86,80,48,William,Brandt,wbrandt,windchill
2019,62,11,29,519,570,40,0,0,0,0,0,0,455,2,4,0,6,1,5,28421,227,160,47,24,18554,367,184,221,153,Josh,Klane,jklane,windchill
2023,2,3,0,6,6,0,0,0,138,31,0,0,7,0,3,0,0,0,0,0,1,0,32,12,2671,21,12,39,22,Michael,Fairley,mfairley,hustle
2021,11,23,12,110,112,2,0,0,1925,590,1,1,136,2,4,0,0,0,0,0,127,93,60,18,14001,202,111,146,81,Karl,Ekwurtzel,kekwurtze,hustle
2022,10,9,10,91,96,5,0,0,970,891,8,7,104,3,1,0,0,0,0,0,97,67,3,1,6764,120,68,52,25,Max,Thorne,mthorne,hustle
2019,1,0,1,7,7,0,0,0,0,0,0,0,7,0,0,0,1,0,1,7218,0,0,14,4,689,9,4,19,9,Hayden,Austin-Knab,haustinkn,hustle
