year,assists,goals,hockeyAssists,completions,throwAttempts,throwaways,stalls,callahansThrown,yardsReceived,yardsThrown,hucksAttempted,hucksCompleted,catches,drops,blocks,callahans,pulls,obPulls,recordedPulls,recordedPullsHangtime,oPointsPlayed,oPointsScored,dPointsPlayed,dPointsScored,secondsPlayed,oOpportunities,oOpportunityScores,dOpportunities,dOpportunityStops,firstName,lastName,id,team
2019,18,21,27,147,151,2,1,0,0,0,0,0,171,0,4,0,0,0,0,0,121,86,74,24,12228,196,110,145,82,Mischa,Freystaetter,mfreystae,flyers
2019,2,1,6,121,126,5,1,0,-17,-14,0,0,85,0,0,0,0,0,0,0,63,48,7,4,4019,90,52,42,29,Elliot,Lee,elee,empire
2017,0,4,4,24,27,2,0,0,0,0,0,0,31,1,6,0,1,0,1,3747,4,1,84,20,4282,54,21,111,53,Joel,Clutton,jclutton,legion
2021,5,4,4,59,67,7,0,0,167,441,4,2,55,0,4,0,6,1,0,0,9,7,154,35,9792,93,41,202,94,Thomas,Duplaix,tduplaix,royal
2023,3,1,2,15,16,1,0,0,139,244,4,3,17,0,0,0,0,0,0,0,15,11,7,2,874,19,13,13,5,Ben,Dameron,bdameron,flyers
2016,41,95,40,280,306,18,0,0,0,0,0,0,398,10,13,0,0,0,0,0,333,230,90,39,22906,500,269,297,182,Mischa,Freystaetter,mfreystae,cannons
2023,0,0,0,2,2,0,0,0,-17,14,0,0,3,0,0,0,0,0,0,0,0,0,17,6,1744,15,6,26,15,Walt,Johnson,wjohnson1,thunderbirds
2022,24,26,20,203,207,4,0,0,2517,1454,15,13,232,2,2,0,0,0,0,0,227,182,13,0,15338,290,182,118,88,Henry,Fisher,hfisher,flyers
2022,1,1,2,5,6,1,1,0,54,44,0,0,8,0,1,0,0,0,0,0,0,0,34,7,2214,14,7,41,16,Raphaël,Lalonde-Landry,rlalondel,royal
2023,0,0,2,5,6,1,0,0,20,42,0,0,5,0,1,0,0,0,0,0,0,0,17,5,1066,10,5,22,11,Matthew,Weaver,mweaver,alleycats
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex,Liu,aliu1,radicals
2016,6,16,11,70,78,8,0,0,0,0,0,0,89,3,12,0,1,0,1,936,86,48,133,46,11890,226,94,252,153,Joel,Clutton,jclutton,sol
2017,17,15,5,121,134,12,0,0,0,0,0,0,127,2,10,0,0,0,0,0,98,57,130,37,12683,221,94,248,138,CJ,O'Brien,cobrien,union
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Erik,Atwell,eatwell,sol
2023,4,1,7,92,95,3,1,0,392,324,2,1,95,0,1,0,0,0,0,0,41,25,1,0,2879,53,25,29,15,Pat,Shriwise,pshriwise,radicals
2023,0,2,1,4,4,0,0,0,138,2,0,0,5,0,0,0,0,0,0,0,2,2,22,8,1721,17,10,29,15,Matthew,Sutton,msutton,legion
2021,7,6,2,39,45,6,0,0,500,185,3,1,45,1,10,0,70,5,42,309613,12,7,136,30,9080,83,37,182,88,Kevin,Tien,ktien,spiders
2023,0,4,1,60,63,2,0,0,651,67,0,0,67,0,1,0,0,0,0,0,92,44,26,4,8506,137,48,109,52,Sam,Warrick,swarrick,royal
2023,1,7,3,29,34,4,0,0,539,165,0,0,42,2,2,0,0,0,0,0,40,26,15,2,3812,66,28,51,29,Peter,Boerth,pboerth,glory
2016,2,11,7,45,47,2,0,0,0,0,0,0,59,0,1,0,0,0,0,0,64,48,36,10,4805,109,58,80,49,Jacob,Mouw,jmouw,flyers
2023,2,7,2,21,23,1,0,0,402,98,1,1,30,1,2,0,0,0,0,0,16,8,126,36,10050,98,44,171,89,Milan,Ravenell,mravanell,aviators
2023,2,7,2,21,23,1,0,0,402,98,1,1,30,1,2,0,0,0,0,0,16,8,126,36,10050,98,44,171,89,Milan,Ravenell,mravenell,aviators
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max,Barowski,mbarowski,thunderbirds
2023,3,1,5,86,93,6,0,0,278,746,4,2,78,1,2,0,0,0,0,0,40,22,0,0,4132,67,22,44,32,Jakob,Brissette,jbrissett,royal
2022,1,0,0,1,1,0,0,0,12,35,1,1,1,0,0,0,0,0,0,0,0,0,27,2,1433,6,2,31,6,Nicholas,DiGiorgio,ndigiorgi,phoenix
2023,5,1,2,25,28,3,0,0,181,262,1,1,25,0,1,0,0,0,0,0,31,14,30,6,4278,56,20,65,28,James,Kloss,jkloss,havoc
2018,3,15,8,89,99,8,0,0,0,0,0,0,112,1,21,0,8,0,8,43205,39,18,213,65,15492,263,83,367,233,Joel,Clutton,jclutton,legion
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garrett,Geib,ggeib,windchill
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CJ,O'Brien,cobrien,union
2022,1,2,4,56,62,5,0,0,258,172,3,1,44,4,9,0,0,0,0,0,8,6,181,31,12535,94,37,234,90,Kayle,Campbell,kcampbell,outlaws
2023,0,0,1,4,4,0,0,0,10,28,0,0,4,0,2,0,0,0,0,0,0,0,19,5,1303,11,5,25,12,Jake,Wahl,jwahl,alleycats
2018,1,4,1,26,31,4,0,0,0,0,0,0,28,1,3,0,0,0,0,0,20,6,119,23,6529,103,29,182,85,Houston,Parks,hparks,breeze
2021,0,0,1,4,4,0,0,0,35,30,0,0,3,0,0,0,0,0,0,0,0,0,12,4,670,4,4,12,4,Grady,Watkins,gwatkins,growlers
2018,34,37,21,214,225,10,0,0,0,0,0,0,257,4,13,0,1,0,1,2420,201,147,91,40,18169,332,187,223,136,Mischa,Freystaetter,mfreystae,flyers
2023,0,0,0,1,1,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,342,1,0,5,1,Hudson,Stuck,hstuck,aviators
2023,3,0,0,8,8,0,0,0,131,83,0,0,7,0,1,0,0,0,0,0,7,5,11,2,912,13,7,17,7,Benj,Thomsen,bthomsen,legion
2022,0,1,0,1,1,0,0,0,63,-13,0,0,3,0,0,0,0,0,0,0,0,0,35,5,2125,10,5,40,10,Mark,Donohue,mdonohue,summit
2023,2,0,1,22,25,0,0,0,25,170,1,1,20,0,0,0,0,0,0,0,21,10,2,0,1146,25,10,17,8,George,Lampron,glampron,legion
2023,4,5,1,15,17,2,0,0,226,129,1,1,21,0,6,0,0,0,0,0,11,5,74,24,5121,66,29,109,57,Kevin,Tien,ktien,aviators
2023,6,7,5,65,68,2,0,0,277,280,0,0,63,1,4,0,0,0,0,0,38,25,108,37,9769,118,61,161,89,Landon,Shank,lshank,aviators
2018,1,1,4,19,20,1,0,0,0,0,0,0,17,1,0,0,2,0,2,14641,0,0,40,9,1748,20,9,51,20,Clint,McSherry,cmcsherry,flyers
2018,2,2,1,10,12,1,0,0,0,0,0,0,13,1,1,0,0,0,0,0,13,10,36,2,2520,32,12,54,23,Nabil,Chaouch,nchaouch,royal
2023,1,5,3,67,69,2,0,1,256,244,1,1,71,0,1,0,0,0,0,0,28,16,2,1,2036,32,16,16,5,Brian,Hart,bhart,radicals
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew,Johnson,mjohnson,windchill
2022,6,2,15,123,126,3,0,0,284,660,2,1,112,0,4,0,0,0,0,0,34,20,112,33,9967,104,53,162,79,Ian,McCosky,imccosky,radicals
2022,0,4,0,5,5,0,0,0,103,-18,0,0,9,0,3,0,0,0,0,0,0,0,17,9,968,11,9,19,13,Matt,Johnson,mjohnson1,empire
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Noah,Nicol,nnicol,radicals
2022,0,5,3,20,20,0,0,0,239,99,0,0,25,0,2,0,0,0,0,0,19,10,92,24,7605,84,34,141,78,Ramzi,Cope-Musleh,rcopemusl,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max,Barowski,mbarowski,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oliver,Feder,ofeder,sol
2023,0,3,3,28,33,4,0,0,311,14,0,0,34,0,2,0,0,0,0,0,34,18,4,2,3081,50,20,34,18,Thomas,Duplaix,tduplaix,royal
2021,0,2,0,9,9,0,0,0,63,50,0,0,11,0,1,0,0,0,0,0,3,2,14,6,1296,12,8,18,9,Noah,Nicol,nnicol,radicals
2021,15,43,31,199,209,9,1,0,3719,640,7,4,251,2,6,0,1,0,1,6558,262,203,21,2,16262,323,205,137,91,Henry,Fisher,hfisher,flyers
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David,Woods,dwoods,union
2018,1,0,13,144,147,2,1,0,0,0,0,0,95,1,1,0,0,0,0,0,109,82,5,2,6184,147,84,64,39,Elliot,Lee,elee,empire
2022,27,5,28,384,412,17,1,0,491,3431,22,15,329,5,3,0,4,0,4,28180,168,110,10,3,10876,218,113,114,60,Clint,McSherry,cmcsherry,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Choi,schoi,legion
2021,15,16,15,231,240,8,0,0,1390,1208,6,2,230,4,1,0,0,0,0,0,163,119,3,1,10649,190,120,67,36,Pat,Shriwise,pshriwise,union
2019,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,14,1,591,7,1,19,6,Andrew,Gardner,agardner,thunderbirds
2022,15,24,12,99,109,10,0,0,1543,1102,12,9,132,4,1,0,1,0,0,0,185,115,30,4,14164,241,119,145,68,Nabil,Chaouch,nchaouch,royal
2023,1,0,0,11,12,0,0,0,68,47,0,0,12,0,0,0,1,0,1,4678,0,0,16,5,925,8,5,19,9,Rutledge,Smith,rsmith3,flyers
2022,2,9,1,11,12,1,0,0,347,38,0,0,21,3,7,0,0,0,0,0,7,5,102,22,8080,76,27,149,75,Ywan,Cohonner,ycohonner,royal
2022,0,1,0,1,1,0,0,0,4,-1,0,0,1,0,1,0,0,0,0,0,0,0,14,1,564,3,1,16,3,Josh,Kautz,jkautz,windchill
2023,1,0,0,5,6,1,0,0,13,18,0,0,3,0,0,0,0,0,0,0,2,1,18,3,1389,10,4,24,9,Malachi,Marshall,mmarshall,mechanix
2021,4,2,1,27,28,1,0,0,60,189,2,2,21,0,0,0,7,1,0,0,5,3,48,7,2482,18,10,56,17,Clint,McSherry,cmcsherry,thunderbirds
2017,20,38,16,160,173,10,0,0,0,0,0,0,201,7,18,0,0,0,0,0,115,79,198,52,17443,281,131,335,178,Mischa,Freystaetter,mfreystae,cannons
2019,2,0,0,8,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,5,0,0,629,11,5,5,2,Chase,Cunningham,ccunningh,sol
2013,5,7,0,60,66,5,1,0,0,0,0,0,62,0,5,0,5,0,0,0,31,25,37,13,0,0,0,0,0,Brian,Hart,,
2023,2,5,0,5,7,1,0,0,215,44,0,0,11,0,5,0,0,0,0,0,0,0,97,24,5849,44,24,117,47,Stewart,Kelley,skelley1,glory
2017,0,12,10,46,47,1,0,0,0,0,0,0,58,0,4,0,0,0,0,0,75,63,33,12,5244,117,75,74,45,Jacob,Mouw,jmouw,flyers
2023,0,1,0,2,2,0,0,0,36,8,0,0,3,0,1,0,0,0,0,0,0,0,13,4,860,13,4,22,14,Miles ,Grovic,mgrovic,breeze
2023,0,3,2,7,9,2,0,0,217,54,1,0,12,0,0,0,0,0,0,0,0,0,38,12,5104,25,12,51,26,Mark,Donohue,mdonohue,glory
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thomas,Loria,tloria,legion
2022,2,2,4,20,22,2,0,0,280,111,0,0,24,0,1,0,0,0,0,0,26,21,28,7,3856,50,28,49,26,Aaron,Bartlett,abartlett,breeze
2023,0,3,0,3,3,0,0,0,73,-4,0,0,6,0,0,0,0,0,0,0,0,0,13,5,917,10,5,18,13,Henry,Fisher,hfisher,flyers
2022,1,1,0,2,2,0,0,0,13,28,0,0,3,0,1,0,0,0,0,0,0,0,29,5,1701,12,5,36,12,Hudson,Stuck,hstuck,aviators
2018,7,5,4,35,41,3,0,0,0,0,0,0,45,0,2,0,0,0,0,0,28,15,88,16,6277,100,31,155,75,Nicholas,DiGiorgio,ndigiorgi,phoenix
2018,3,1,8,108,117,3,0,0,0,0,0,0,98,1,1,0,0,0,0,0,16,4,155,43,10093,135,47,236,121,David,Woods,dwoods,union
2023,0,3,0,8,8,0,0,0,73,51,0,0,11,1,0,0,0,0,0,0,1,1,31,11,2172,22,11,41,23,Grant,Mitchell,gmitchell,aviators
2017,19,15,27,360,393,23,1,0,0,0,0,0,387,4,10,0,0,0,0,0,213,140,26,12,15914,327,152,182,121,Pat,Shriwise,pshriwise,radicals
2023,0,2,1,6,6,0,0,0,70,32,0,0,7,0,0,0,0,0,0,0,0,0,17,5,916,8,5,20,11,Jacob,Mouw,jmouw,flyers
2022,3,5,2,28,35,5,0,0,147,191,3,1,38,2,5,0,9,0,9,48308,10,5,99,21,7891,71,25,144,63,Cam,Bellando,cbellando,thunderbirds
2019,2,12,9,60,66,6,0,0,0,0,0,0,70,1,9,0,1,0,1,6403,92,59,79,21,10619,183,80,172,93,Mitchell,McCarthy,mmccarthy,windchill
2019,4,2,3,38,42,4,0,0,0,0,0,0,43,1,0,0,0,0,0,0,61,44,24,4,4310,85,48,53,29,Jacob,Mouw,jmouw,flyers
2023,0,1,0,2,2,0,0,0,19,5,0,0,2,0,1,0,0,0,0,0,0,0,8,5,751,7,5,10,7,Blake,Trantina,btrantina,union
2023,0,0,1,2,2,0,0,0,3,12,0,0,1,0,0,0,9,0,9,59193,0,0,14,3,624,4,3,15,5,Christopher ,Nelson ,cnelson,legion
2022,1,0,1,42,48,5,0,1,183,169,0,0,38,0,3,0,21,1,20,146654,31,10,141,22,9689,97,32,203,78,Sam,Warrick,swarrick,nitro
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trevor,Elam,telam,sol
2023,4,0,0,15,15,0,0,0,177,43,0,0,15,0,1,0,0,0,0,0,6,3,24,4,1575,12,7,29,8,Raphaël,Lalonde-Landry,rlalondel,royal
2014,24,26,13,208,224,13,2,0,0,0,0,0,244,5,9,0,0,0,0,0,164,118,53,29,15110,313,147,198,156,Pat,Shriwise,,
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew,Gardner,agardner,thunderbirds
2023,0,3,2,11,12,1,0,0,143,0,0,0,15,0,2,0,0,0,0,0,16,12,15,2,1946,30,14,31,18,Toya,Chukwumerije ,tchukwume,havoc
2019,2,11,5,42,50,8,0,0,0,0,0,0,60,3,2,0,0,0,0,0,53,35,102,27,8548,127,62,161,75,Grayson,Pangburn,gpangburn,windchill
2023,0,0,0,10,15,4,0,0,2,59,0,0,12,0,0,0,0,0,0,0,19,4,0,0,1320,30,4,25,11,Elliot,Lee,elee,union
2022,6,3,7,142,157,12,0,0,275,1090,3,2,108,1,2,0,0,0,0,0,85,44,63,15,10629,136,58,139,56,Thomas,Duplaix,tduplaix,royal
2022,1,1,0,34,38,3,0,0,8,248,0,0,36,1,2,0,0,0,0,0,0,0,51,20,3965,40,20,71,41,Alex,Cloud,acloud,flyers
2016,1,3,3,82,93,11,1,0,0,0,0,0,76,2,6,0,1,0,0,0,36,17,82,24,7377,119,41,159,89,David,Woods,dwoods,union
2021,0,1,0,2,3,1,0,0,19,12,1,0,4,0,2,0,6,0,6,33128,0,0,13,6,949,15,6,22,15,Sun,Choi,schoi,hustle
2016,13,6,14,125,139,10,0,0,0,0,0,0,129,2,3,0,0,0,0,0,101,64,36,14,7273,171,77,126,77,Clint,McSherry,cmcsherry,express
2023,1,0,1,4,4,0,0,0,62,26,0,0,4,0,0,0,0,0,0,0,6,4,5,1,456,7,5,7,2,Caiden,Burt,cburt,havoc
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan,Faries,jfaries,royal
2023,1,1,0,1,2,0,0,0,43,23,0,0,3,0,0,0,0,0,0,0,0,0,10,4,568,6,4,12,6,Trey,Koch,tkoch,alleycats
2022,2,1,8,96,98,1,0,0,129,795,1,1,76,3,3,0,0,0,0,0,58,40,1,0,3748,76,40,37,24,Jake,Taylor,jtaylor1,glory
2022,4,2,0,15,16,1,0,0,201,143,1,0,17,1,3,0,0,0,0,0,0,0,63,19,4161,34,19,77,37,Walt,Johnson,wjohnson1,summit
2023,0,1,0,10,12,2,0,0,140,56,2,0,12,0,1,0,0,0,0,0,16,9,4,0,757,18,9,13,4,Houston,Parks,hparks,legion
2014,16,21,17,179,193,12,1,0,0,0,0,0,206,3,16,0,3,0,3,16682,96,69,109,59,13441,258,127,232,166,Brian,Hart,,
2021,5,15,3,40,46,6,0,0,887,230,5,1,60,3,8,0,0,0,0,0,101,71,48,7,9867,167,78,135,76,Nabil,Chaouch,nchaouch,royal
2023,2,1,2,13,15,2,0,0,118,85,2,0,14,0,0,0,8,0,8,48664,8,6,13,3,1017,15,9,19,8,Cam,Bellando,cbellando,legion
2022,0,7,7,50,55,4,0,0,423,328,2,1,56,1,2,0,0,0,0,0,36,25,32,7,5035,66,32,66,34,Landon,Shank,lshank,aviators
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex,Liu,aliu1,radicals
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex,Liu,aliu,hustle
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex,Liu,aliu,radicals
2023,0,0,2,3,3,0,0,0,17,4,0,0,3,0,0,0,0,0,0,0,0,0,8,5,894,9,5,12,9,Josh,Kautz,jkautz,union
2023,0,3,0,7,8,1,0,0,103,12,0,0,11,0,0,0,0,0,0,0,13,6,8,2,1355,21,8,21,11,Ramzi,Cope-Musleh,rcopemusl,legion
2021,14,7,14,175,193,17,1,0,483,1482,16,10,143,2,9,0,79,4,75,618170,52,35,128,34,11745,144,69,201,112,Chase,Cunningham,ccunningh,legion
2023,2,0,0,5,5,0,0,0,22,22,0,0,4,0,0,0,0,0,0,0,0,0,10,4,568,6,4,12,6,Noah,Wahl,nwahl,alleycats
2023,2,1,2,4,4,0,0,0,9,20,0,0,3,0,0,0,10,0,10,77630,0,0,12,5,412,5,5,12,5,Yigit,Demiralp,ydemiralp,glory
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cole,Hyzer,chyzer,alleycats
2022,0,3,1,4,7,2,0,0,120,22,2,0,9,0,1,0,0,0,0,0,0,0,50,10,3108,28,10,67,31,Milan,Ravenell,mravanell,aviators
2023,1,0,1,18,20,2,0,0,156,103,0,0,18,0,1,0,0,0,0,0,33,7,6,1,2791,55,8,50,24,Kyle,Blaeuer,kblaeuer,nitro
2023,2,1,2,12,14,2,0,0,296,91,1,1,14,1,6,0,0,0,0,0,8,5,80,20,5613,43,23,97,43,Joel,Clutton,jclutton,shred
2022,0,0,0,1,1,0,0,0,15,-1,0,0,1,0,0,0,0,0,0,0,0,0,9,2,574,3,2,10,5,Oakley,Armstrong,oarmstron,legion
2023,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3,600,4,3,14,5,John,Laney,jlaney,legion
2023,0,0,3,6,8,2,0,0,117,25,0,0,7,0,1,0,0,0,0,0,0,0,15,3,1252,8,3,20,10,Val,Post,vpost,radicals
2023,0,1,2,21,23,2,0,0,40,128,0,0,20,0,0,0,0,0,0,0,7,4,9,2,975,12,6,15,5,Alex,Cloud,acloud,legion
2021,7,6,4,128,149,18,0,0,486,801,8,3,138,1,3,0,10,3,6,28177,83,33,107,15,12050,162,48,219,85,Justin,Winn,jwinn,mechanix
2021,0,0,0,2,2,0,0,0,1,-4,0,0,2,0,0,0,0,0,0,0,1,1,23,2,1005,7,3,27,8,Cam,Bellando,cbellando,thunderbirds
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Couper,Kerns,ckerns,legion
2023,0,1,2,13,14,1,0,0,79,22,0,0,13,0,1,0,0,0,0,0,7,5,11,4,993,15,9,17,8,Matthew,Nightingale,mnighting,legion
2015,32,19,20,269,295,18,0,0,0,0,0,0,298,3,18,0,2,0,1,5400,165,124,82,38,15414,323,162,227,169,Pat,Shriwise,pshriwise,radicals
2019,4,3,2,15,17,2,0,0,0,0,0,0,21,3,5,0,0,0,0,0,16,5,112,28,8579,104,33,171,90,Houston,Parks,hparks,breeze
